"cond" "Scond" "sub" "item" "lag" "resp"
0 0 16 8 0 2
0 0 7 8 0 2
0 1 1 8 262.728195860763 5
0 0 11 8 0 3
0 1 86 8 -129.271804139237 5
0 0 76 8 0 5
0 1 19 8 -30.2718041392367 2
0 1 63 8 -68.2718041392367 4
0 1 23 8 -33.2718041392367 2
0 0 56 8 0 0
0 1 72 8 84.7281958607633 0
0 0 64 8 0 3
0 0 41 8 0 2
0 0 31 8 0 1
0 0 91 8 0 3
0 0 22 8 0 4
0 1 70 8 -222.271804139237 5
0 0 6 8 0 2
0 0 90 8 0 1
0 0 30 8 0 2
0 0 82 8 0 1
0 0 69 9 0 4
0 0 25 9 0 2
0 0 93 9 0 5
0 1 41 9 -25.2718041392367 5
0 1 82 9 -151.271804139237 4
0 0 31 9 0 2
0 0 62 9 0 2
0 1 33 9 -60.2718041392367 5
0 0 61 9 0 3
0 0 40 9 0 4
0 1 20 9 7.72819586076332 5
0 0 73 9 0 0
0 1 49 9 -86.2718041392367 4
0 1 71 9 -77.2718041392367 4
0 1 88 9 163.728195860763 3
0 1 57 9 205.728195860763 4
0 1 6 9 90.7281958607633 1
0 0 4 9 0 2
0 0 9 9 0 1
0 0 55 9 0 5
0 0 60 9 0 1
0 0 46 9 0 2
0 0 11 9 0 3
0 0 67 9 0 1
0 0 0 9 0 3
0 1 94 9 295.728195860763 1
0 0 8 9 0 4
0 0 52 9 0 1
0 0 48 9 0 1
0 0 54 9 0 3
0 1 80 9 260.728195860763 3
0 0 72 9 0 3
0 0 24 9 0 1
0 1 37 9 -170.271804139237 4
0 1 2 9 -349.271804139237 5
0 0 50 9 0 4
0 0 38 9 0 1
0 0 32 9 0 1
0 0 77 9 0 4
0 0 12 9 0 1
0 1 75 9 -25.2718041392367 5
0 1 29 9 150.728195860763 4
0 0 85 9 0 4
0 0 23 9 0 3
0 0 90 9 0 4
0 0 18 9 0 1
0 0 35 9 0 4
0 0 59 9 0 1
0 0 78 9 0 2
0 0 16 9 0 2
0 0 21 9 0 5
0 0 65 9 0 2
0 0 74 9 0 1
0 1 63 9 -113.271804139237 2
0 1 27 9 138.728195860763 3
0 0 42 9 0 1
0 1 45 9 -82.2718041392367 1
0 1 68 9 31.7281958607633 4
0 0 87 9 0 0
0 0 26 9 0 1
0 1 39 9 -324.271804139237 1
0 1 17 9 -100.271804139237 1
0 0 36 9 0 5
0 0 10 9 0 2
0 0 92 9 0 3
0 0 3 9 0 2
0 1 7 9 297.728195860763 3
0 1 14 9 -161.271804139237 5
0 0 84 9 0 2
0 1 34 9 149.728195860763 1
0 0 79 9 0 3
0 0 58 9 0 1
0 1 22 9 -246.271804139237 4
0 1 1 9 -349.271804139237 5
0 0 83 9 0 3
0 1 13 9 -257.271804139237 5
0 1 28 9 -8.27180413923668 1
0 1 53 9 120.728195860763 4
0 1 76 9 -127.271804139237 0
0 0 47 9 0 2
